#{"t_start": 1642286527.870901, "env_id": null}
r,l,t
-757.527872,252,0.087002
-523.004547,252,0.170999
-379.659317,252,0.249003
-516.614924,252,0.361045
-652.715479,252,0.437045
-337.664084,252,0.510077
-598.048537,252,0.581077
-497.161149,252,0.660045
-510.638564,252,1.346575
-382.735792,252,1.429573
-551.187105,252,1.507574
-717.398339,252,1.592572
-531.709002,252,1.670581
-483.12252,252,1.742574
-347.491537,252,1.814574
-738.574868,252,1.892571
-493.956243,252,2.556086
120.252837,63,2.575085
-371.252057,252,2.652607
-499.232779,252,2.725639
-636.714937,252,2.805609
-438.871077,252,2.877623
-346.667386,252,2.948654
-410.144123,252,3.020623
-466.209945,252,3.101624
-452.0628,252,3.796669
-542.516939,252,3.876666
-429.596398,252,3.952674
-594.678937,252,4.032786
-379.447692,252,4.101774
-382.834526,252,4.170775
-621.729391,252,4.240775
-387.959464,252,4.317742
-460.329137,252,4.969741
-514.281781,252,5.04674
-540.881072,252,5.120749
-343.044872,252,5.198742
-527.259681,252,5.271742
-335.036749,252,5.344757
-439.663691,252,5.416761
-515.644167,252,5.49776
-244.580439,252,6.165756
-434.752595,252,6.245755
-566.208409,252,6.319766
-394.560292,252,6.400757
-548.752415,252,6.472757
-533.734983,252,6.544759
189.844369,10,6.547759
-359.969711,252,6.619788
-408.110983,252,6.700785
-444.749991,252,7.338786
-255.701071,233,7.41932
-492.61537,252,7.498334
-457.497108,252,7.582351
-485.063424,252,7.66832
134.570732,53,7.683353
-483.996693,252,7.757364
-392.89453,252,7.830318
-402.361975,252,7.910318
-345.211371,252,8.577325
-388.813558,252,8.659316
-386.476391,252,8.742325
-456.353363,252,8.823321
-408.888915,252,8.895321
-497.813976,252,8.966318
-475.770176,252,9.038318
-406.378888,252,9.116318
-417.253057,252,9.768335
-404.339292,252,9.845335
-414.920577,252,9.92434
-168.490928,203,9.99237
-369.401003,252,10.06234
-531.211172,252,10.13434
-432.824244,252,10.206339
-589.69229,252,10.287946
-473.762801,252,10.931068
115.619014,76,10.958068
-528.345062,252,11.04261
-480.998134,252,11.133613
-104.277621,218,11.196607
8.10254,142,11.236607
-481.07958,252,11.307607
-409.602484,252,11.380129
-332.722762,252,11.460129
-406.767586,252,11.532129
-186.120848,238,12.188681
-98.240126,179,12.243681
-428.396162,252,12.328681
179.318747,19,12.334681
-386.236298,252,12.406718
-413.510784,252,12.476715
-441.89395,252,12.545717
-357.137737,252,12.625686
194.385037,6,12.627686
-566.30674,252,12.699294
-403.539933,252,13.344411
-403.53958,252,13.422412
141.659212,47,13.436412
-468.516205,252,13.521427
-404.441069,252,13.593462
-597.511187,252,13.662458
-5.272484,151,13.70546
-350.41634,252,13.785427
-378.099905,252,13.85643
-448.808243,252,13.928427
-396.132075,252,14.592037
-454.405679,252,14.681641
106.894607,72,14.70664
22.458127,118,14.742235
-325.381791,252,14.815245
-343.362972,252,14.886277
-431.638292,252,14.968277
169.307307,26,14.975277
-442.543499,252,15.048459
-184.417579,195,15.104459
-305.282979,252,15.765615
-346.103904,252,15.845612
-492.861876,252,15.93462
-412.287764,252,16.005651
-420.870463,252,16.076268
125.512302,65,16.095269
-388.151322,252,16.176235
-348.784749,252,16.24825
-363.403746,252,16.319252
-355.948672,252,16.96839
-143.319376,251,17.05698
-113.755128,251,17.13798
79.878223,100,17.16698
-55.869859,156,17.21198
-1.628107,132,17.250979
-406.611428,252,17.322979
-111.308807,184,17.38498
-346.198352,252,17.458979
57.582167,93,17.486979
21.974311,111,17.517979
-442.933409,252,18.172101
-125.499445,203,18.2441
-345.093021,252,18.324102
-139.603532,221,18.389103
-344.894696,252,18.465104
-108.983605,164,18.512104
-394.283484,252,18.593102
-365.448595,252,18.6657
-546.204856,252,18.736702
-460.672151,252,19.380887
192.087516,8,19.383887
182.636152,16,19.388886
-379.183422,252,19.479887
-342.237378,252,19.560888
28.552277,128,19.597888
15.217885,118,19.630888
-80.885441,163,19.677888
58.601772,105,19.716888
-112.714601,238,19.784888
-455.659512,252,19.856889
-415.772503,252,19.928888
-398.215143,252,20.606119
-490.373431,252,20.694731
32.899627,113,20.728733
-342.819726,252,20.802296
-335.27372,252,20.875296
-467.587424,252,20.956296
-336.547232,252,21.028298
-370.149439,252,21.098949
-383.007498,252,21.739935
-362.57931,252,21.831936
-45.874119,137,21.873935
-208.113994,199,21.935937
-322.155745,252,22.008937
43.686671,106,22.038947
-171.112642,197,22.106548
-375.101006,252,22.178548
-362.297574,252,22.250549
-456.49975,252,22.322589
-315.622592,252,22.973729
-369.288457,252,23.053731
-360.783451,252,23.138328
-331.598725,252,23.211326
-322.933038,252,23.292326
-400.022576,252,23.364328
-320.262511,252,23.436329
-321.276256,252,23.507361
-129.883136,247,24.142916
-339.920794,252,24.218915
-397.926359,252,24.304917
83.713368,73,24.326916
52.327016,102,24.356916
-452.691474,252,24.429947
-304.935014,252,24.508979
-389.764735,252,24.577982
-109.968963,169,24.62595
-161.548481,249,24.697538
-345.0612,252,25.350597
47.348915,104,25.382597
-380.824049,252,25.462595
-31.191981,140,25.508598
59.491774,104,25.538598
89.535281,67,25.557599
-380.548998,252,25.638597
-334.086472,252,25.711596
-20.067948,131,25.749596
-328.611946,252,25.821613
-72.871502,133,25.859614
-335.718814,252,26.523187
103.548957,67,26.543189
109.476071,68,26.564187
-54.428348,147,26.617189
118.069565,69,26.639189
102.230233,75,26.666189
-340.961428,252,26.74577
-125.989857,161,26.792367
-94.374456,188,26.855367
104.328965,78,26.877367
-378.073515,252,26.948399
-356.19677,252,27.020365
80.450237,81,27.043365
-28.812882,131,27.081364
-3.071028,122,27.124966
43.817258,103,27.739981
-339.615764,252,27.829979
-328.118364,252,27.910981
-362.832545,252,27.98553
68.315866,82,28.009531
187.752087,12,28.01353
-392.195772,252,28.09453
-371.180217,252,28.167117
15.19015,143,28.208116
-12.90281,162,28.255115
-42.649408,156,28.301131
177.13022,19,28.307131
-25.298721,145,28.35513
-124.449448,232,29.007242
-337.571897,252,29.083242
108.122192,79,29.108244
8.085156,141,29.154816
-332.621765,252,29.236815
-318.888127,252,29.307818
100.041484,67,29.326818
-318.4536,252,29.397846
-355.269159,252,29.467847
-54.913177,134,29.514816
-84.163962,201,30.162956
33.59527,93,30.196956
136.257973,49,30.213956
-306.5997,252,30.294956
-357.655875,252,30.369602
143.769566,45,30.38257
130.495229,50,30.397569
-306.309254,252,30.478567
109.156381,69,30.498567
-310.139505,252,30.569569
129.971778,54,30.585569
6.760684,125,30.620569
-343.836948,252,30.692569
15.895199,98,30.726567
-71.219875,200,31.36358
-346.767135,252,31.45258
-332.980313,252,31.534578
98.832496,63,31.555578
110.338555,53,31.571579
-370.569778,252,31.653579
-73.651293,180,31.705581
83.436573,98,31.73361
-323.232313,252,31.803618
7.416326,121,31.837583
40.22314,124,31.873582
91.937925,73,31.89458
26.137133,95,31.93058
9.292326,138,31.970579
134.115177,50,31.98458
-385.579506,252,32.658605
-307.595273,252,32.736604
111.157648,68,32.760607
-9.551182,106,32.793616
-340.138192,252,32.878605
101.086808,86,32.903606
115.313841,76,32.925613
-343.225603,252,32.995791
-351.64294,252,33.06579
162.053559,32,33.074793
18.088591,110,33.114759
55.461058,105,33.144758
-18.434997,156,33.189758
99.246513,81,33.212758
-327.879757,252,33.873758
17.52056,139,33.91976
110.965797,66,33.93976
-349.412197,252,34.02928
-313.794098,252,34.108313
20.363912,111,34.139314
88.458845,76,34.160314
168.316622,28,34.16828
-298.583716,252,34.239313
16.008561,127,34.274312
60.07777,93,34.300314
186.094791,13,34.313281
108.739793,61,34.33128
56.217181,80,34.35428
81.319666,95,34.38128
26.769725,128,34.41828
85.873258,78,35.044281
47.399094,83,35.069279
37.660376,126,35.107279
-118.862238,252,35.186342
71.601199,75,35.209279
98.821749,65,35.237287
-17.715342,160,35.283289
158.633645,33,35.292318
56.784161,79,35.31528
140.121086,45,35.327811
46.619396,115,35.360811
6.043302,113,35.392811
106.826192,65,35.411812
93.515986,77,35.433811
-313.429978,252,35.507812
-333.890741,252,35.589811
21.416874,129,35.626812
92.081965,91,36.241812
-323.010272,252,36.31981
42.499578,110,36.356812
-352.972811,252,36.444812
-2.509777,125,36.480818
-317.830955,252,36.551842
141.382448,44,36.563844
133.637796,49,36.577851
141.927744,43,36.589844
-129.16549,217,36.649847
119.917464,52,36.664843
60.858296,108,36.695858
-24.607092,154,36.748827
179.846131,19,36.754827
107.737286,73,36.775827
182.788408,16,36.780827
47.943737,96,36.807869
33.425201,95,36.834829
-303.104987,252,37.478842
-14.020607,111,37.517843
4.576828,109,37.552842
94.203132,83,37.580844
99.147948,81,37.615842
11.001427,108,37.647844
151.128019,39,37.658844
133.6647,53,37.674844
130.082091,50,37.688844
185.71889,14,37.693844
52.0545,115,37.725844
185.409243,14,37.730844
76.545052,78,37.752844
126.687818,60,37.769846
51.3138,84,37.793845
111.976392,63,37.811846
190.832913,9,37.814846
114.716071,71,37.834846
1.940343,125,37.870847
-363.565716,252,37.952847
-6.822227,139,37.992034
199.959522,1,37.992034
56.930045,101,38.020033
23.326682,105,38.049038
16.869319,120,38.662002
41.441,87,38.687001
-312.709063,252,38.766001
-30.752074,152,38.825009
167.287575,30,38.834103
134.627472,58,38.85101
67.305471,81,38.874034
50.917429,87,38.899034
58.089731,83,38.922034
31.741723,127,38.957035
178.593724,20,38.963036
112.559518,65,38.981035
148.029673,43,38.993036
84.933251,79,39.016035
164.899265,28,39.024038
20.180083,104,39.053036
111.290262,72,39.083002
81.469087,80,39.106005
167.106294,29,39.115005
112.429558,59,39.131005
66.205975,97,39.159005
-26.297904,118,39.192005
-10.869195,151,39.235002
116.645532,66,39.829019
53.535047,94,39.86002
71.801068,81,39.88502
94.865617,67,39.909019
87.855721,95,39.940021
142.818173,45,39.965019
84.633881,77,39.991031
-11.526785,106,40.02705
82.247622,80,40.049059
107.992789,58,40.066051
133.072541,49,40.080055
-329.614478,252,40.15102
187.632365,12,40.15502
-26.018537,174,40.20502
60.154473,79,40.22702
26.386727,99,40.25502
74.938059,77,40.28702
152.500532,43,40.30002
166.072331,28,40.30802
31.570171,97,40.33702
133.876289,50,40.35102
66.905256,102,40.38002
115.566959,68,40.400022
-93.731666,220,41.054043
50.42483,94,41.083036
75.867769,72,41.105037
64.903983,86,41.133036
173.900389,22,41.140036
104.592576,62,41.170036
-50.783461,132,41.216038
145.457194,42,41.23004
115.14142,63,41.249044
-91.25988,135,41.288051
57.754758,82,41.31107
6.819889,145,41.352068
170.382614,25,41.359068
136.335569,46,41.372041
136.54461,46,41.38604
156.544075,35,41.396041
44.949376,104,41.426038
155.578145,35,41.436038
54.326636,100,41.465038
54.242008,82,41.498038
76.635482,79,41.521038
127.910285,50,41.535044
105.077014,59,41.552044
81.944516,77,41.573037
15.009377,159,41.618041
78.654679,84,41.64204
72.068569,89,41.66704
156.28968,38,42.261051
68.301928,78,42.28805
138.868249,52,42.307052
59.246277,80,42.33505
72.25038,85,42.37405
105.697853,70,42.39705
157.668019,33,42.40705
28.966765,100,42.43905
126.071962,52,42.455059
158.653702,33,42.464058
33.883635,87,42.489051
134.948018,45,42.502086
159.04837,37,42.512083
160.234952,34,42.522085
80.511272,71,42.542054
107.941372,61,42.559098
33.232871,111,42.591054
130.309276,63,42.609094
162.441888,33,42.619083
91.577623,68,42.638054
148.222134,45,42.651088
-54.141918,125,42.696052
91.36987,80,42.719054
128.417094,56,42.735054
114.227322,73,42.756054
84.059645,72,42.777054
142.903657,49,42.791054
182.985734,16,42.796054
170.402409,28,42.804053
101.280191,65,42.822052
44.585678,131,42.859054
165.54564,31,42.868054
106.10286,69,43.465582
80.037907,75,43.49236
26.275989,101,43.526594
181.129572,17,43.532593
26.957906,115,43.581595
195.627006,5,43.583596
110.912615,59,43.604595
136.831843,52,43.623595
152.502818,42,43.638595
90.603609,87,43.667595
142.988289,42,43.680595
114.062933,62,43.698596
142.743358,41,43.710595
168.709281,26,43.718596
99.508114,70,43.738595
69.313436,89,43.763595
127.111339,59,43.780596
181.625053,17,43.785602
155.007544,41,43.798595
162.837431,31,43.807595
121.729513,57,43.823595
132.018978,49,43.837595
124.722445,56,43.853595
49.248161,115,43.895597
140.614276,45,43.908597
168.811051,28,43.917606
181.750391,17,43.922628
85.273323,72,43.942627
138.046362,48,43.955631
72.73769,73,43.976627
48.311327,94,44.00263
27.047744,108,44.032628
163.28171,32,44.04163
71.607854,90,44.06663
174.354513,23,44.073629
95.176993,67,44.092596
60.563013,91,44.700594
3.864915,117,44.735594
115.133034,59,44.762595
93.75152,68,44.782594
98.612573,69,44.804596
156.440711,38,44.818594
87.166725,71,44.839594
119.399472,56,44.856595
115.792667,58,44.875138
58.636526,79,44.899137
141.586785,44,44.912137
96.471234,74,44.933137
123.768704,52,44.948137
176.392038,21,44.955139
33.304502,113,44.987138
158.830716,36,44.998137
34.584722,113,45.034138
185.925726,13,45.038137
7.879913,103,45.077137
179.826953,19,45.083138
173.666435,23,45.089137
-59.053654,134,45.128137
84.640928,75,45.149139
153.167088,39,45.161139
113.622892,63,45.179139
115.90519,52,45.19414
57.316527,86,45.21914
118.835841,55,45.23414
140.820223,44,45.24714
105.321226,68,45.26714
182.626553,17,45.272141
154.441545,37,45.28214
172.154444,23,45.28914
104.001531,67,45.895151
150.476691,37,45.90915
84.028188,81,45.936149
119.680456,56,45.96215
159.040494,32,45.97215
166.484297,30,45.98315
193.254215,7,45.985149
8.613921,102,46.015148
97.538966,68,46.035161
54.056144,81,46.05915
59.308493,82,46.084149
-14.861693,121,46.119161
52.882078,80,46.142183
46.598071,95,46.168183
32.003882,93,46.194182
-50.759616,118,46.226804
126.431201,52,46.241336
173.616363,22,46.247336
123.181955,54,46.270304
110.709601,58,46.287303
173.479805,22,46.293303
143.719802,48,46.307304
43.157749,84,46.332303
86.33201,67,46.351304
190.850172,9,46.354303
-44.493614,137,46.393303
178.563887,20,46.399343
101.167255,57,46.416339
181.527334,17,46.421336
153.945479,35,46.431334
79.741054,69,46.451337
52.021713,101,46.480303
-60.825635,175,47.126302
18.614087,102,47.162302
164.780286,29,47.171302
21.714184,93,47.200302
121.280897,57,47.220302
168.977418,26,47.229302
31.971461,89,47.258301
116.621625,53,47.276302
136.504732,45,47.290304
145.785505,44,47.303303
157.412738,35,47.313303
98.040806,66,47.333303
155.266909,37,47.343303
74.094572,73,47.364304
155.100819,35,47.375303
151.572429,41,47.386303
9.869558,103,47.416305
156.330878,35,47.426305
176.247681,20,47.432305
122.533846,48,47.446304
174.457511,23,47.452303
145.882506,40,47.470303
63.571361,83,47.494303
175.096393,23,47.500304
153.625775,39,47.512303
110.351839,56,47.528303
169.765015,25,47.535303
-71.12825,177,47.585304
94.98786,66,47.604318
103.637484,61,47.622318
74.55482,79,47.645318
126.215483,66,47.663318
100.176154,82,47.68732
115.340955,61,47.705318
16.216006,97,48.308834
-2.940856,98,48.345834
85.707266,65,48.366834
181.125585,18,48.372834
99.744813,61,48.391836
138.808263,43,48.405836
84.438041,73,48.431836
142.239904,50,48.446838
192.061152,8,48.449837
125.368302,55,48.467836
153.846763,38,48.481834
175.494196,21,48.487834
